"","song","artist","lyrics"
"68","No One Noticed","The Marias","  Maybe I Lost my mind No one noticed No one noticed    It's getting old (I'd kinda like it if you'd call me) All alone ('Cause I'm so over bein' lonely) May have lost it (I need a virtual connection) I have lost it (Be my video obsession)    No one tried To read my eyes No one but you Wish it weren't true    Maybe I (I'd kinda like it if you'd call me) It's not right ('Cause I'm so over bein' lonely) Make you mine (I need a virtual connection) Take our time (Be my video obsеssion)    Come on, don't leave mе, it can't be that easy, babe If you believe me, I guess I'll get on a plane Fly to your city excited to see your face Hold me, console me, and then I'll leave without a trace Come on, don't leave me, it can't be that easy, babe If you believe me, I guess I'll get on a plane Fly to your city excited to see your face Hold me, console me, then I'll leave without a trace Come on, don't leave me, it can't be that easy, babe If you believe me, I guess I'll get on a plane Fly to your city excited to see your face Hold me, console me, and then I'll leave without a trace (Maybe I) Come on, don't leave me, it can't be that easy, babe (It's not right) If you believe me, I guess I'll get on a plane (Make you mine) Fly to your city excited to see your face (Take our time) Hold me, console me and then I'll leave without a trace   I'd kinda like it if you'd call me (It's not right) 'Cause I'm so over bein' lonely (Make you mine) I need a virtual connection (Take our time) Be my video obsession"
"69","28","Zach Bryan","  You took a train to the south side of Boston You showed me where your old man stayed Took twenty-eight years of blood I was lost in To feel loved on my own birthday And I always felt like I's in between somethin' Like home and somewhere far away But tonight on the west side in a bar out in Brooklyn I saw tears outline your face    How lucky are we? It's been a hell of a week, but you're all grown now There's smoke seepin' out of your bloody teeth But you're home somehow    And I'll be upstairs with the guitar I's given When I was barely fourteen When did McGlinchеy's get so crowded And why are thе crowds so damn green? I lost my mind on the streets of the city And maybe I lost all hope too Took twenty-eight years of blood pumpin' through me To get to this evening with you   How lucky are we? It's been a hell of a week, but we're all grown now There's smoke seepin' out of the bar down the street But we're home somehow    How lucky are we? It's been a hell of a week and we're all grown now There's smoke seepin' out of the bar down the street But we're home somehow    You took a train to the south side of Boston You showed me where your whole heart stayed Took twenty-eight years of blood pumpin' through me To feel loved on my own birthday"
"70","Think I'm In Love With You","Chris Stapleton","  Baby, do you ever wonder Whatever happened way back when Or if I'll see you again And maybe if you ever wonder Aw, you might wish things could change I know this might sound strange but    I think I'm in love with you I didn't know it at the time I know what I wanna do It's makin' me lose my mind I thought about thinkin' it through And every time I do I find I wanna make your dreams come true I think I'm in love with you I'm in love with you    Ooh, you are the power over me You are the truth that I believe You are my life, you are my world You are thе air I'm breathin', girl You are the light I wanna see You'rе all of everythin' to me You are the reasons that I am Woman   I think I'm in love with you I didn't know it at the time I know what I wanna do It's makin' me lose my mind I thought about thinkin' it through And every time I do I find I wanna make your dreams come true I think I'm in love with you Oh, I think I'm in love with you I didn't know it at the time I know what I wanna do It's makin' me lose my mind, girl I thought about thinkin' it through And every time I do I find I wanna make your dreams come true I think I'm in love with you Oh, I think I'm in love with you I didn't know it at the time I know what I wanna do It's makin' me lose my mind, girl I thought about thinkin' it through And every time I do I find I wanna make your dreams come true I think I'm in love with you I'm in love with you   I think I'm in love with you I think I'm in love with you I think I'm in love with you (Yeah) I think I'm in love with you I think I'm in love with you (Yeah) I think I'm in love with you"
"71","Diet Pepsi","Addison Rae","  My boy's a winner, he loves the game My lips reflect off his cross gold chain I like the way he's telling me My ass looks good in these ripped blue jeans My cheeks are red like cherries in the spring Body's a work of art you'd die to see    Untouched, XO Young lust, let's— (Ah)    When we drive in your car, I'm your baby (So sweet) Losing all my innocence in the backseat Say you love, say you love, say you love me (Love me) Losing all my innocence in the backsеat When we drive in your car, I'm your baby (So sweet) Losing all my innocеnce in the backseat Say you love, say you love, say you love me (Love me) Losing all my innocence in the backseat    Break all the rules 'til we get caught Fog up the windows in the parking lot Summer love (Ah, ah), sexy Sitting on his lap, sippin' Diet Pepsi I write my name with lipstick on your chest I leave a mark so you know I'm the best   Untouched (Untouched), XO (XO) Young lust, let's go (Ah)    When we drive in your car, I'm your baby (So sweet) Losing all my innocence in the backseat Say you love, say you love, say you love me (Love me) Losing all my innocence in the backseat When we drive in your car, I'm your baby (So sweet) Losing all my innocence in the backseat Say you love, say you love, say you love me (Love me) Losing all my innocence in the backseat    When we— I'm your baby I'm your baby When we— (XO)    When we drive in your car, I'm your baby (So sweet) Losing all my innocence in the backseat Say you love, say you love, say you love me (Love me) Losing all my innocence in the backseat (Ah) When we drive in your car, I'm your baby (So sweet) Losing all my innocence in the backseat Say you love, say you love, say you love me (Love me) Losing all my innocence in the backseat   Untouched Young lust XO Let's go"
"72","Bad Dreams","Teddy Swims","  Sun is going down, time is running out No one else around but me Steady losing light, steady losing my mind Moving shadows and grinding teeth (Ooh)    Without you, there ain't no place for me to hide Without you, there's no way I can sleep tonight What I'd do for a little bit of peace and quiet Without you, I keep    Slipping into bad dreams (Bad dreams) Where there's no you and I No sound when I cry I love you and I need you to set me free From all of these Bad dreams (Bad dreams) Waitin' on the other side No sound when I cry I love you and I need you to set me free From all of these, all of these    Ooh, ooh, ooh Bad dreams Ooh, ooh, ooh All of these   Baby, please come around, help me settle down Hellish habits keep clouding my head (Mm) What you waiting for? Something physical? I can't do this by myself    Without you, there ain't no place for me to hide Without you, there's no way I can sleep tonight What I'd do for a little bit of peace and quiet Without you, I keep    Slipping into bad dreams Where there's no you and I (You and I) No sound when I cry I love you and I need you to set me free (Set me free) From all of these (All of these) Bad dreams Waitin' on the other side No sound when I cry I love you and I need you to set me free (Set me free) From all of these, all of these    Ooh, ooh, ooh Bad dreams (Bad dreams) Baby, please Ooh, ooh, ooh All of these (Baby, please) All of these"
"73","Guy For That","Post Malone Featuring Luke Combs","  I got a guy designin' my rifle My mama's new boyfriend re-binds bibles Ricky down the road, he resoles Red Wings Hell, I got a guy for every damn thing Oh, that ain't exactly what I'm lookin' for 'Cause I'm lookin' for    Someone to put her tires back in the drive And if they don't, then I just might Lose what's left of my never-lovin' mind I'm damn near down to my last dime I'm pretty good at breakin' down a heart But pickin' up the pieces is the hard part She's searchin' for someone who's gonna build it back But I ain't got a guy for that    Ain't got a guy for that, ain't got a guy for that Ain't got a guy for that    Know a VIP up at MIT And he still won't lеt me fly the time machinе Someone to turn back the hands on my new AP But, buddy, what I really need   Is someone to put her tires back in the drive And if they don't, then I just might Lose what's left of my never-lovin' mind I'm damn near down to my last dime I'm pretty good at breakin' down a heart But picking up the pieces is the hard part She's searchin' for someone who's gonna build it back But I ain't got a guy for that    Ain't got a guy for that, ain't got a guy for that (Guy for that) Ain't got a guy, I ain't got a guy for that Ain't got a guy for that, ain't got a guy for that Ain't got a guy, I ain't got a guy for that"
"74","Liar","Jelly Roll","  I, I let you drive around my mind I can't count the times you made me feel like I'm nothin' Played me like a fool, like a fool    Saying, ""Drink another whiskey Pop another pill Money makes you happy Heaven isn't real You won't find nobody to love Because your heart's too broke"" Now I know    You ain't nothin' but a liar Yeah, I walk right out the fire Yeah, you try to keep me down Try to put me underground But I'm only going higher I can hear you in my head In my bed when I'm dreaming You try to be my friend But you're blowing smoke Oh, and now, I ain't scared of Tellin' you where you can go 'Cause I know You're nothing but a liar   You burned me one too many times Like a devil in disguise, hiding your true colors Just leave me alone Keep leading me on    Saying, ""Drink another whiskey Pop another pill Money makes you happy Heaven isn't real You won't find nobody to love Because your heart's too broke"" Now I know    You ain't nothin' but a liar Yeah, I walk right out the fire Yeah, you try to keep me down Try to put me underground But I'm only going higher I can hear you in my head In my bed when I'm dreaming You try to be my friend But you're blowing smoke Oh, and now, I ain't scared of Tellin' you where you can go 'Cause I know You're nothing but a liar   If I was doin' what you do Then you would swear I poisoned you    You're nothing but a liar (Liar) Yeah, I walk right out the fire (Fire) Yeah, you try to keep me down Try to put me underground But I'm only going higher I can hear you in my head In my bed when I'm dreaming You try to be my friend But you're blowing smoke Oh, and now, I ain't scared of Tellin' you where you can go 'Cause I know You're nothing but a liar"
"75","El Lokeron","Tito Double P","     Con la gorrita de lado, los ojos tumbados y cargo un placón Loco cabrón, así me dicen que soy Los plebes andan ondeados, si bajan los vidrios, un humaderón Sale el olor a pura flor Tengo llamadas perdidas, mi morra ya varias veces me marcó Quiere que ya me regrese pa'l cantón Y que la dé por perdida, no hay pedo, aquí tengo a su amiga a un lado Y lo mueve mucho mejor, mucho mejor    No te tengo aquí, a mi lado, pero me la paso chingón Van cuatro días enfiestado, encerrado, traigo un loquerón Un loquerón, no es por amor el loquerón    Tito Double P El loquerón, mi pa Ay, mamá    Pata a fondo, acelerado, bien adiamantado traigo el Rolexón Y atrás de mí viene un convoy (Convoy) Los plebes andan ondeados, las puntas por fuera, se ve el blindadón Y en el depa un reventón Ya empezó y pónganse pilas, que las bandidas llegarán en calor Y ahí vienen dos pa' Miguelón No se me duerma, plebada, que ahí vienen morritas de medio millón En el TikTok, de lo mejor, de lo mejor   No te tengo aquí, a mi lado, pero me la paso chingón Van cuatro días enfiestado, encerrado, traigo un loquerón Un loquerón, no es por amor el loquerón   "
"76","La Patrulla","Peso Pluma & Neton Vega","     Miren, ¿quién lo pensaría? El muchacho se fue pa' arriba Le sobra la calidad De varias la ha librado andando en la patrulla Las ganas de superarme por las noches me perturban Sigo siendo el mismo, solo que cambie los planes y los medios zumban Y de repente nos vamos de rumba Porque hoy se puede hacer lo que me gusta Los doble cara me caen en la punta Y lo peor del caso que de esos abundan    Me muero si tú no estás Véngase pa' acá, mi nena, mamá Véngase, márqueme a mi celular Te quiero acariciar y tu pelo rozar    Así nomás, compa Neton, pa' que sepan, viejo Y así suena la Doble P, viejillo Jálese la greña    Todo le he aprendido al viejo, bien firmes con su bandera Prohibido decir su nombre, da la vuelta al mundo y en su jet despega Siente el peligro y la Glock desenfunda No digo el nombre por si se preguntan Uno de uva aquí me vo'a prender De varias la ha librado andando en la patrulla   Me muero si tú no estás Véngase pa' acá, mi nena, mamá Llámame, márcame a mi celular Te quiero acariciar y tu pelo rozar"
"77","No Pole","Don Toliver","  Yeah, uh-uh, uh-uh Uh-uh, yeah-yeah, yeah-yeah Uh-uh, yeah    She don't wanna strip no more, don't wanna hit that pole (Oh) Hit my old plug, I get it in and go (Ooh, ooh) Shawty owe me something, better pay your toll (Pay up, pay up) I lick the spoon and I scrape the bowl (Skrrt, skrrt) Scrape the bowl (Skrrt, skrrt), scrape the bowl (Skrrt, skrrt)    Like, did you get the memo? She eat at out of the relay I'm poppin' hella Skittles Then I can solve your riddle We'll smoke you like it's menthol This dude is crazy mental A suave, hood hеro Got Johnny Dang dental She's a nympho She slobbin' on hеr pillow Got chicken, Rob' De Niro She's too gone and she can't hear you (Ooh, ooh, I know)   She don't wanna strip no more, don't wanna hit that pole Hit my old plug, I get it in and go She don't wanna strip no more, don't wanna hit that pole (Oh) Hit my old plug, I get it in and go (Ooh, ooh) Shawty owe me something, better pay your toll (Pay up, pay up) I lick the spoon and I scrape the bowl (Skrrt, skrrt) Scrape the bowl (Skrrt, skrrt), scrape the bowl (Skrrt, skrrt)    Seein' way too many ones I'm 'bout to throw some hundreds (I'm 'bout to throw some hundreds) In that old life that you run from Baby girl, keep running (Ooh, keep running) It's pressure with me, sexually (Sexually) Check my bank account (Ooh, ooh), it's precious to me I got my anchor out (Ooh, ooh), I'm locked in your sea You know you're my baby now, you're special to me I bought you time, I bought you diamonds, you can keep the receipt I got you down, I got you loose, I guess you owe it to me Is you down or nah? Fuck around, find your spot I get you lit, lit, drunk, trip Watch me slip inside    She don't wanna strip no more, don't wanna hit that pole (Oh) Hit my old plug, I get it in and go (Ooh, ooh) Shawty owe me something, better pay your toll (Pay up, pay up) I lick the spoon and I scrape the bowl (Skrrt, skrrt) Scrape the bowl (Skrrt, skrrt), scrape the bowl (Skrrt, skrrt)   And I sent her away Pull out, sent her on her way She don't wanna hit the strip club, no, no She don't wanna go strip, no, no She don't wanna go strip, no way"
"78","For Me","Loe Shimmy & Brent Faiyaz",NA
"79","I Luv Her","GloRilla & T-Pain","  Oh-ooh Oh    You ain't got to say a word Keep givin' me when I'm lookin' for (GloRilla) I just got to tell everybody (Everybody) I don't want to keep it on the low Goddamn, I love her (Goddamn, I love her) Uh, I love her (Ooh, I love her) Goddamn, I love her (Ooh, I love her) I love her (Ooh, I love her) I just want to take her out and prove (And prove) What a real man 'posed to do (To do) Who can pay you 'round and play you 'round And got time to hang with my crew I love her (Damn, I love her) Uh, I love her (Ooh, I love her, ooh) Goddamn, I love her (Ooh, I love hеr, hey) I love her (Ooh, I lovе her, on the gang, on gang)    Is it me or these hoes just average? (Huh) Is it because you like my accent? (Is it?) Is it the way that I talk my shit? (Huh) Is it the way that I wear these glasses? Met him on April the seventh (Okay) By the fifteenth, 'bout me a Patek (Hey) I heard he get hard-on, bitch Shit, I made him fall in love with a savage (Ooh) It's the fact that I'm hard on niggas (On God) But no lie, you makin' me feel different Got no type, but he say I'm the one (Let's go) He must got a thing for real bitches I know I can get a lil' crazy (I know it) But I love that you know how to deal with it I need you to bare with me, baby (For real) I ain't really used to no real nigga You on me and I'm on you too I promise, I'm not 'bout to let up for nothin' I know I be naggin' sometimes Shit, put dick in my mouth, make me shut up or somethin' I promise to keep you tight (Tight) Every time gon' feel like a verse You keepin' me happy, you givin' me dick (Oh-ooh) Got him askin' me who am I searchin', on the gang (Oh)   You ain't got to say a word Keep givin' me when I'm lookin' for (Lookin' for her) I just got to tell everybody (Everybody) I don't want to keep it on the low Goddamn, I love her (Goddamn, I love her) Uh, I love her (Ooh, I love her) Goddamn, I love her (Ooh, I love her) I love her (Ooh, I love her) I just want to take her out and prove (And prove) What a real man 'posed to do (To do) Who can pay you 'round and play you 'round And got time to hang with my crew I love her (Damn, I love her) Uh, I love her (Ooh, I love her) Goddamn, I love her (Ooh, I love her, I love you too, bae) I love her (Ooh, I love her, on the gang)    Cook and clean and suck and fuck (Uh-huh) Lil' bitch, I'm real grown (Yeah) I can not relate to hoes (Why not?) 'Cause my niggas love home (Favorite) Favorite song come on, it's up (Hey) T-shirt and panties on Know he love Big Glo', for sure (Damn, facts) His favorite redbone He got motion and I got it too, the sex be so cometic Voodooin' with the pussy (Woo), I ain't have to make no spaghetti Fell in love so fast (Damn), my friends say I'm pathetic (Fuck) Pray he don't play with my feelings (Why?), this shit gon' get domestic   You ain't got to say a word Keep givin' me when I'm lookin' for (Lookin' for her) I just got to tell everybody (Everybody) I don't want to keep it on the low Goddamn, I love her (Goddamn, I love her) Uh, I love her (Ooh, I love her) Goddamn, I love her (Ooh, I love her) I love her (Ooh, I love her) I just want to take her out and prove (And prove) What a real man 'posed to do (To do) Who can pay you 'round and play you 'round And got time to hang with my crew I love her (Damn, I love her) Uh, I love her (Ooh, I love her) Goddamn, I love her (Ooh, I love her) I love her (Ooh, I love her) Uh, I love her"
"80","Apple","Charli xcx","  I guess the apple don't fall far from the tree 'Cause I've been looking at you so long Now I only see me I wanna throw the apple into the sky Feels like you never understand me So I just wanna drive To the airport, the airport The airport, the airport    I guess the apple could turn yellow or green I know there's lots of different nuances To you and to me I wanna grow the apple, keep all the seeds But I can't help but get so angry You don't listen, I leave To the airport, the airport The airport, the airport The airport, the airport The airport, the airport    (Yeah, yeah) I'm gonna drive, gonna drive all night I'm gonna drive, gonna drive all night   I think the apple's rotten right to the core From all the things passed down From all the apples coming before I split the apple down symmetrical lines And what I find is kinda scary Makes me just wanna drive (Drive, drive, drive, dr-dr-dr-drive, drive, drive) (I'm gonna drive, gonna drive all night) (I'm gonna drive, gonna drive all night) (Drive, drive, drive, dr-dr-dr-drive, drive)    I wanna know where you go When you're feeling alone When you're feeling alone, do you? I wanna know where you go When you're feeling alone When you're feeling alone, do you? (Do you, do you, do you, do you) (Do you, do you, do you, do you) (Do you, do you, do you, do you) (Do you, do you, do you, do you) (Do you, do you, do you, do you) (Do you, do you, do you, do you) (Do you, do you, do you, do you) (Do you, do you, do you, do you) (Do you, do you)"
"81","New Drop","Don Toliver","  Got two girls in the cut And I don't know what to do I fell in love with, mm Fell in love with you Two girls in the cut Which one to choose? I fell in love with, mm Fell in love with, mm Fell in love with you I got two girls in the cut I don't know who to choose I fell in love with, mm I fell in love with you    You gotta believe in no one (No-no) She back at the house, she hoin' (Yeah-yeah, yeah) I'm freakin' too and then go in, yeah Honeymoon out in Aspen, it's snowin', yeah Stay in the cut, ah-yeah Got a bitch in the cutter and she want thе pie, yeah I don't wanna fuck no one Got a gun in thе car and the bitch got a nightlight I'm poppin' this G6, I'm on a G6 I'm still up glowin' (Yeah) How the hell that nigga get up and get up and get up and get high? (Jeez) Yeah How the nigga ride through the streets in a McLaren then come here and get by? Damn, feelin' like it Dubai Damn, it's feelin' like Tupac Woo, she eat it, she a threw bop Damn, ridin' a— Ridin' a new drop   Got two girls in the cut And I don't know what to do I fell in love with, mm Fell in love with you Two girls in the cut Which one to choose? I fell in love with, mm Fell in love with, mm Fell in love with you I got two girls in the cut I don't know who to choose I fell in love with, mm I fell in love with you    Don't let her go and lose control I got two in here and I'm trippin' Bitch, told 'em don't play with me (Mm) Sittin' down on four (Yeah) Got 'em back in that— (Back in that mode) Ready to kick down doors (Yeah) Maxed up, I don't know That I move like a soldier Bitch, I bite like a cobra They done fucked up (Yeah) They done fucked (They done fucked) Yeah, they done fucked up They done fucked All this shit that I'm movin' cost cheese I put Chrome Hearts on and I freeze I got it tucked in down in my pants And this Hardstone shit I bleed If we're choppin' it up, better chop this shit up (Yeah, let me chop it up real quick) Work on her body, she twerkin' it (Ya) You fuck with a rat, I don't fuck with them (Ah) Shippin' this drop, I ain't poppin' (Ha) Hawkin' you down with binoculars (Ha) Holler at my phone and I'm blockin' you (Ah, ah)   Got two girls in the cut And I don't know what to do I fell in love with, mm Fell in love with you Two girls in the cut Which one to choose? I fell in love with, mm Fell in love with, mm Fell in love with you I got two girls in the cut I don't know who to choose I fell in love with, mm I fell in love with you    (Wheezy outta here)"
"82","Good Graces","Sabrina Carpenter","  (I won't give a fuck about you) Oh, mm (I won't give a fuck about you) Mm    When I love you, I'm sweet like an angel Drawin' hearts 'round our names And dreamin' of writing vows, rockin' cradles Don't mistake my nice for naive    I don't waste a second, I know lots of guys You do somethin' suspect, this cute ass bye-bye Like, ooh Baby, you say you really like it being mine? So let me give you some advice    Boy, it's not that complicated You should stay in my good graces Or I'll switch it up like that so fast 'Cause no one's more amazin' At turnin' lovin' into hatred Boy, it's not that complicated You should stay in my good graces Or I'll switch it up like that (Like that) so fast (So fast) 'Cause no one's more amazin' At turnin' lovin' into hatred   I won't give a fuck about you I won't give a fuck about you I won't give a fuck about you That was cool I won't give a fuck about you (Oh) I won't give a fuck about you I won't give a fuck about you Yeah    I'll tell the world you finish your chores prematurely Break my heart and I swear I'm movin' on With your favorite athlete Shoot his shot every night    Want you every second, don't need other guys You do somethin' sus, kiss my cute ass bye    Boy, it's not that complicated You should stay in my good graces (Ah) Or I'll switch it up like that so fast 'Cause no one's more amazin' (Amazin') At turnin' lovin' into hatred Boy, it's not that complicated (No) You should stay in my good graces (Ah) Or I'll switch it up like that (Like that) so fast (So fast) 'Cause no one's more amazin' At turnin' lovin' into hatred   I won't give a fuck about you I won't give a fuck about you I won't give a fuck about you Oh, no I won't give a fuck about you (Oh) I won't give a fuck about you I won't give a fuck about you Oh    No, I won't I won't give a fuck about you, no, I won't (I won't, I won't, I won't) No, I won't I won't give a fuck about you, no, I won't (I won't, I won't, I won't)"
"83","Him All Along","Gunna","  (Run that back, Turbo)    Scrooge McDuck, got one of my rooms all flooded with gold (Gold) I done bought two, four, five, six, seven, eight karats in stones (In stones) Cash on the California couch, can't wait to go dress my home (Dress my home) Smash all you itty-bitty rappers in a minute, I was tryna prolong (Tryna prolong) On the way to reachin' my goals, lot of doors open and close (Open and close) I've been spendin' millions on clothes, I been makin' millions off clothes (Millions off clothes) Stackin' new money to old, garments stay vintage and old (Vintage and old) Cut up my shirt full of holes, GunWunna got a lot of hoes (Got a lot of hoes) Shoutout my cousin, my cousin, my kin, my blood, my folk (My folk) Hold my team, now I plant the seed, give it water to grow (For my team) Half a million euros in a third-world country, I travel the coast (Travelin', yeah) Always said that I wanted, young Wunna done done it, I do what they don't (Young Wunna the man)    They was tryna stunt my growth, I been steady chasin' my goals Nigga, why you watchin'? I'm grown, nigga can't take my throne Goin' through the motions, stay strong, he done been him all along (Him) Look at all this money we done grown, lot of different places I done flown    Freaky lil' bitch, she swallow my kids (She swallow my kids) Pull up on the kid, she left her kid at home It's 10 P.M. in Atlanta, where I'm at, it's four in the morn' Marbella, Spain and the view is insane, 'round the corner from Jordan (Jordan) Speed in the coupe, Jeff Gordon, I got the foreign imported (Foreign imported) Knew that we sold out the Barclay', now we gon' sell out the Garden (Gon' sell out the Garden) Trap, I'ma fuck up the market, young Gunna really a martian (I'm really a martian) Excusin' me through like I'm pardoned, and I'm protected by carbons   They was tryna stunt my growth, I been steady chasin' my goals Nigga, why you watchin'? I'm grown, nigga can't take my throne Goin' through the motions, stay strong, he done been him all along Look at all this money we done grown, lot of different places I done flown    On the way to reachin' my goals, lot of doors open and close Goin' through the motions, stay strong, he done been him all along"
"84","Or What?","NLE Choppa & 41","  (EMRLD) Fuck Bitch, is we fuckin' or what? (Damn) Ayy, ayy, ayy, ayy Ayy, ayy, ayy, ayy Let me nut on your butt (Damn) Ayy, ayy, ayy, ayy Ayy, ayy, ayy, ayy Fuck    Is we fuckin' tonight? Toes right and her pussy is tight Like, she ride my dick like a bike Like, I beat the pussy like fight night Scary movie, she wanna record it, we watch it again like the hot ice Baby, you know you my type, type    Feel like Freddy, together for five nights She in love through the dash like a hyphen Can't spend no time with these bitches, I'm timeless Said she sick of mе, she caught the itis I feel like Trav', in this room, I'm thе highest We could lay up and look at the starlights If she not fuckin', she gotta get depart, like (It's Carter, dickhead) Girl, we been huggin' and cuddlin' all night Is we fuckin' or what? (Grrah, bang)   Pretty, but she hard to solve like a riddle Yeah, once I touch it, it jiggle If we get drunk enough, we could kiss Is we fuckin'? I'm not tryna see what them hips do Yeah, brown skin joint with a dimple Light skin, she like, ""I buy it, it's simple"" 12 a.m., after dark, I'm a slut Don't got time for no games, is we fuckin' or what?    Ayy, ayy, ayy, ayy Ayy, ayy, ayy, ayy Let me nut on your butt Ayy, ayy, ayy, ayy Ayy, ayy, ayy, ayy (Phew)    Is we fuckin' or not? I got a whole 'nother ho in the spot (Phew) I'm tryna tie that bitch up like a knot (Knot) She thick like O's in a pot She wanna fuck at the Ritz She know that I'm rich But really ain't throwin' no fits But she throw it back on that dick Throw up on it like you sick Don't tell nobody Think I'm in love with a ratchet Two seats when we ride in traffic Twin G-locks, we matchin' She don't know her dad, but she call me, ""Daddy"" She want a thug, she need some love, she wanna get off them drugs When you take this pink pill, bae, is we fuckin' or what? (Ooh)   If I was a bad bitch (Ooh) If I was a ratchet (Let me nut on your butt, ooh) If I was a bad bitch I'd wanna fuck me too Yes, I love pills and Percocets, yes, yes (Let's go) I— I love pills and Percocets, yes, let's fuck (Let's go, let's go, yeah)    Ayy, ayy, ayy, ayy Ayy, ayy, ayy, ayy Let me nut on your butt (Let's fuck) Ayy, ayy, ayy, ayy Ayy, ayy, ayy, ayy (Let's fuck)"
"85","Mamushi","Megan Thee Stallion Featuring Yuki Chiba","     (Koshy アッツー) 私は スター スター ミーガン Ah 雄喜 千葉    I get money, I'm a star, star, star Star, star, star, star I get money, I'm a star, star, star Star, star, star, star お金 稼ぐ 俺らは スター お金 稼ぐ 私は スター スター、スター、スター、スター、キラキラ 私は スター (Real hot girl shit)    He know who I am, ain't had to say my name Stack it up like Tetris, but this money ain't a game 私、可愛い いい体 Drinkin' out the bottle, gettin' twisted, Maruchan Big exotic, Hermès, this a croc', hmm Watch too expensive, ain't no way I'm gettin' clocked, hmm I think I'm so sexy, every shirt I own is cropped, hmm So many carats, diamonds do the bunny hop (Ah) In the US or Japan, if he meet me, he gon' bow I got yen for your friends, if they pretty, bring 'em out Goin' dumb in Madam Woo, pourin' sake in they mouth Told him put me on his plate, bring them chopsticks to the south   I gеt money, I'm a star, star, star Star, star, star, star I get money, I'm a star, star, star Star, star, star, star お金 稼ぐ 俺らは スター お金 稼ぐ 私は スター スター、スター、スター、スター、キラキラ 私は スター    流れる  星たち どこに向かう？ また 願い叶えながら暮らす ジュエリー身につけたまま歌う スター達が集まったスタジオ 夜な夜な酒たくさん並ぶアジト さっきまで六本木で収録ラジオ そっからテレビ撮影するはしご カメラたち追いかけてる俺たちを 大好きピカピカのダイヤ 暗いとこ輝いてる毎晩 Nicе to meet you する挨拶 I'm so happy ありがたいな    I get money, I'm a star, star, star Star, star, star, star I get money, I'm a star, star, star Star, star, star, star お金 稼ぐ 俺らは スター お金 稼ぐ 私は スター スター、スター、スター、スター、キラキラ 私は スター"
"86","Am I Okay?","Megan Moroney","  I check my pulse and my heart's still beatin' Exhale I think I'm still breathin' Both feet on the ground, but something's changed I've been playin' less Black Keys, baby And my friends swear I've gone crazy I don't know how to act, I don't know what to say    'Cause, oh, my God, he walked in Like a 6'2'' dream Heaven sent He says what he means, and he means what he says And he's funny and he's smart And he's good in — (Good in — ) Maybe love ain't always what it was Not cryin' and dyin', and messin' me up I think I'm really happy, I think I wanna stay Oh, my God, am I okay?    Who knew guys still brought flowers Or picked up the phonе before a last call hour? And not 'cause thеy cheated, and not 'cause they lied And not 'cause they're sorta sorry after a fight And wait, there's guys that can communicate That aren't lookin' for a heart to break Always thought hell no, no way   And then, oh, my God, he walked in Like a 6'2'' dream Heaven sent He says what he means, and he means what he says And he's funny and he's smart And he's good in — (Good in — ) Maybe love ain't always what it was Not cryin' and dyin', and messin' me up I think I'm really happy, I think I wanna stay Oh, my God, am I okay?    I don't feel like a sad song soundtrack The old me doesn't know how to feel about that Am I okay? I think I'm okay    'Cause, oh, my God, he walked in Like a 6'2'' dream Heaven sent He says what he means, and he means what he says And he's funny and he's smart And he's good in — (Good in — ) Maybe love ain't always what it was Not cryin' and dyin', and messin' me up I think I'm really happy, I think I wanna stay Oh, my God, am I okay?   I check my pulse and my heart's still beatin' Exhale I think I'm still breathin'"
"87","Lonely Road","mgk & Jelly Roll","  Lonely road Take me home Take me home Lonely road    I'ma go downtown Ain't been in a long time I'm takin' back Sundays Since you took away my life (Since you took away my life) There's some things that I know now (Mm) Couple songs that I'd rewrite (Yeah) Start over like Mondays Pourin' strong on a weeknight (Mm)    See, I hear the devil wears Prada, but I couldn't read the tags And your horns started showin' when I seen you mad But I'll wait for you 'cause this is not the face I knew I probably could've saved us, but instead, I let us crash 'Cause I don't trust no one to love me back, but shе say, ""I do"" And this is not the place for you    Lonely road, takе me home To the place that we went wrong Where'd you go now? It's been a ghost town And I'm still here all alone   When the days feel long and the nights get cold And I'm thousands of miles away (Ah-ah-ah) I use alcohol just to fill that hole Will our home ever be the same?    I hear the devil wears Prada, but I couldn't read the tags And your horn started showin' when I see you mad But I'll wait for you 'cause this is not the face I knew And I probably could've saved us, but instead, I let us crash 'Cause I don't trust no one to love me back, but you say, ""I do"" And this is not the place for you    Lonely road, take me home To the place that we went wrong Where'd you go now? It's been a ghost town And I'm still here all alone    And if you could salvage my soul Would you sacrifice this life to not die alone? 'Cause even a palace ain't home without you So I might leave here soon, but I wanna leave you this song (Hey)   Lonely road (Lonely road) Take me home (Won't you take me home?) To the place (To the place) that we went wrong Where'd you go now? (Where'd you go now?) It's been a ghost town And I'm still here (I'm still here) all alone    (This lonely road) Yeah, I'm on this road now (This lonely road) Feeling so alone Take me home (This lonely road) Mm, I'm on this road now (This lonely road) Feeling so alone Take me home, mm"
